,Correlation,Excess Return,Market Volatility,Asset Volatility,Portfolio Volatility,Sharpe Ratio,Alpha,Beta
BTC,0.47935026860443963,0.6250516287515167,0.44018599596454916,0.864314059897496,0.5713030501423276,1.0940806785396975,1.131452437307559,0.9484540041377121
CORN,0.20333203219208143,-0.14924232117846134,0.3668535617701054,0.3391963256963884,0.2739703818952082,-0.5447388879997456,-0.05040585536281633,0.18828461252690595
CSTP,0.8469720175236668,-0.1744387516413721,0.36785867798927724,0.25990499480254936,0.3020040297656041,-0.577604053087504,-0.0027305429762393973,0.599303147451035
DOW,0.9756940607184503,-0.22197165373023398,0.36785867798927724,0.3672075442507389,0.3652929766303618,-0.6076537681556523,-0.016392792227858083,0.9754120738207591
ETH,0.5117889461150161,0.9203285474196509,0.44018599596454916,1.0550864030712066,0.667524469413689,1.3787188179453689,1.7044871600575886,1.2361485089735618
EURO,0.029080339049219486,-0.10237687300116163,0.3692257980652516,0.01914975691626928,0.18513888916375773,-0.5529733567246802,-0.00243903933368696,0.0015104986747507408
GOLD,-0.017461993271733898,-0.04240860253718615,0.36785867798927724,0.25246742175039977,0.22125569707030618,-0.19167236414125147,0.12902119359744393,-0.012002232407591209
HLC,0.8385574724703654,-0.20134463259420177,0.36785867798927724,0.299434851835457,0.3200449031677593,-0.6291136981133616,-0.03829878525704519,0.6835936994488844
NASDAQ,0.8551523795525094,-0.20248390069457878,0.36785867798927724,0.43775947024633716,0.38806247159055457,-0.5217817117554719,0.032051121093640916,1.0191589653236228
OIL,0.382118326634812,-0.31456274635905235,0.40319370556422346,0.6928638653457537,0.46263414002209813,-0.6799384635643771,-0.09644705141445975,0.6579926965574947
REST,0.8231043997777886,-0.29225804397077515,0.4030397799279805,0.7195294055113175,0.5379503906552253,-0.5432806612795724,-0.052126295389549715,1.4723565743013245
SP500,1.0,-0.21643611522818104,0.36785867798927724,0.36785867798927724,0.36785867798927724,-0.5883675666188578,0.00032112183268273586,1.0014836795252224
T10,-0.4511501931581125,-0.08373888818149824,0.4030397799279805,0.09902451568785502,0.184550380316874,-0.45374541107809213,0.023943010113482606,-0.11106402390908363
T20,-0.45694289258547255,-0.0769886611726617,0.4030397799279805,0.2123153258264249,0.17980285317148603,-0.42818375690197846,0.009423306677440249,-0.2411863918860864
T3,-0.44041317236010474,-0.10277443517580723,0.4030397799279805,0.024208380802281503,0.196489783255244,-0.523052310777407,0.004080498749457912,-0.02650547378206371
USD,-0.1074871579613261,-0.12259716586209424,0.36785867798927724,0.10500749036747566,0.18577040268958217,-0.6599391726945391,-0.035408948683193775,-0.030728384586716066
VOL,-0.8035238914249273,-0.019243794333295823,0.36785867798927724,1.224004807698179,0.4769478931979494,-0.0403477918819719,-0.4015796001316434,-2.677594384293289
WHEAT,0.19073025187004322,-0.16691292970500174,0.3693798518475741,0.4052563878317274,0.299072060597457,-0.5581027173570121,-0.0851815284264995,0.20957033835418068
