,Correlation,Excess Return,Market Volatility,Asset Volatility,Portfolio Volatility,Sharpe Ratio,Alpha,Beta
BTC,0.08401645019226635,0.2676486393642747,0.13633822421673877,0.6535637347346761,0.33937676671671635,0.7886475021658912,0.38550759059838846,0.40298523576140205
CORN,0.10621885081176559,0.07916404004163449,0.15041487654927974,0.2847930819364665,0.16795233931758163,0.47134824297947375,0.004333300625133669,0.20115919332193463
CSTP,0.7447366064120087,0.08783742420267165,0.15208911759572502,0.1188166008991951,0.12665339097395667,0.6935260361148434,-0.016811603313199773,0.5819429045052057
DOW,0.9619741500678028,0.117657678803194,0.1520615164011866,0.14415943256922825,0.14669672247959017,0.8020470860864914,0.0007033859126653053,0.912190980830446
ETH,0.1673815265998926,0.002668270194509964,0.14439564470029093,0.8665789692934599,0.45102610504344404,0.005915999461390265,-0.2759623491130524,1.0056283650246254
EURO,0.008626463232019821,0.044757214401127364,0.1506523781835166,0.0034886143740113953,0.07536142426592175,0.5939008562682707,-0.036417654877827645,0.00019980669538536853
GOLD,-0.002516761871765952,0.08309228507039187,0.15055771558199213,0.16518586342047015,0.11161184012942825,0.7444755410719481,0.037865548054894414,-0.002761925007137701
HLC,0.7884978908020095,0.11043243354364443,0.1520615164011866,0.1473659973273971,0.1415784787755916,0.7800086178259121,0.004395180951547353,0.7643233568333615
NASDAQ,0.8899639274045394,0.14807328926565505,0.1520615164011866,0.19258225237373944,0.16758181418211215,0.8835880551140407,0.03513322342130301,1.1273738927918666
OIL,0.3692143531832571,0.07690559486348605,0.15458733913496353,0.31696327825842546,0.20034025518032936,0.3838748972055673,-0.06241337391710814,0.7572756516040482
REST,0.7048710969054177,0.13645249666574286,0.14774479939187268,0.22159242422771452,0.17108876258042485,0.7975538229847194,0.01416706212998714,1.0574623307613962
SP500,1.0,0.12269275090495038,0.1520615164011866,0.1520615164011866,0.1520615164011866,0.8068626027722091,-2.7865716762415227e-05,1.0002271178741766
T10,-0.36708481720819874,0.06332228753814806,0.15043249414180357,0.060732440594669784,0.07001945009521282,0.9043528255654976,0.01845710314249558,-0.14823305250571014
T20,-0.38304668207125453,0.06912247944754449,0.15043249414180357,0.12934696214383962,0.07818877454541075,0.8840460775785569,0.05307253853353477,-0.32943203861485215
T3,-0.2598605100525263,0.05377166715244525,0.15043249414180357,0.011480510393859689,0.07393266781341441,0.7273059223041979,-0.016952502811586487,-0.01983624110068657
USD,-0.14461074009338698,0.04019475371730027,0.15209051172040872,0.07307856159961378,0.0794629341772385,0.5058302230276027,-0.033688552295418714,-0.06950036539574007
VOL,-0.7621968793456202,-0.015395710438228412,0.1520615164011866,1.131555408244265,0.510206811633024,-0.030175430996209576,0.5425670540681479,-5.67312429394287
WHEAT,0.09782735811847047,0.08594843474509303,0.15065204956191125,0.30517688474708937,0.1766524122111306,0.48653983078572166,0.02173580511541082,0.1982152712488676
